CHRIS/LIFFE_EOB2,"Malting Barley Futures, Continuous Contract #2 (EOB2)"
CHRIS/LIFFE_EOB3,"Malting Barley Futures, Continuous Contract #3 (EOB3)"
CHRIS/LIFFE_EOB4,"Malting Barley Futures, Continuous Contract #4 (EOB4)"
CHRIS/LIFFE_EOB5,"Malting Barley Futures, Continuous Contract #5 (EOB5)"
CHRIS/LIFFE_EOB8,"Malting Barley Futures, Continuous Contract #8 (EOB8)"
CHRIS/LIFFE_EOB6,"Malting Barley Futures, Continuous Contract #6 (EOB6)"
CHRIS/LIFFE_EOB7,"Malting Barley Futures, Continuous Contract #7 (EOB7)"
CHRIS/LIFFE_W1,"White Sugar Future, Continuous Contract #1 (W1) (Front Month)"
CHRIS/LIFFE_W2,"White Sugar Future, Continuous Contract #2 (W2)"
CHRIS/LIFFE_W3,"White Sugar Future, Continuous Contract #3 (W3)"
CHRIS/LIFFE_W4,"White Sugar Future, Continuous Contract #4 (W4)"
CHRIS/LIFFE_W5,"White Sugar Future, Continuous Contract #5 (W5)"
CHRIS/LIFFE_W6,"White Sugar Future, Continuous Contract #6 (W6)"
CHRIS/LIFFE_RC1,"Robusta Coffee Future, Continuous Contract #1 (RC1) (Front Month)"
CHRIS/LIFFE_RC2,"Robusta Coffee Future, Continuous Contract #2 (RC2)"
CHRIS/LIFFE_RC3,"Robusta Coffee Future, Continuous Contract #3 (RC3)"
CHRIS/LIFFE_RC5,"Robusta Coffee Future, Continuous Contract #5 (RC5)"
CHRIS/LIFFE_RC4,"Robusta Coffee Future, Continuous Contract #4 (RC4)"
CHRIS/LIFFE_C1,"Cocoa Futures, Continuous Contract #1 (C1) (Front Month)"
CHRIS/LIFFE_C2,"Cocoa Futures, Continuous Contract #2 (C2)"
CHRIS/LIFFE_C3,"Cocoa Futures, Continuous Contract #3 (C3)"
CHRIS/LIFFE_C4,"Cocoa Futures, Continuous Contract #4 (C4)"
CHRIS/LIFFE_EPL1,"Skimmed Milk Powder Futures, Continuous Contract #1 (EPL1) (Front Month)"
CHRIS/LIFFE_EPL2,"Skimmed Milk Powder Futures, Continuous Contract #2 (EPL2)"
CHRIS/EUREX_FSMP3,"Skimmed Milk Powder Futures, Continuous Contract #3 (FSMP3)"
CHRIS/EUREX_FSMP4,"Skimmed Milk Powder Futures, Continuous Contract #4 (FSMP4)"
CHRIS/EUREX_FSMP1,"Skimmed Milk Powder Futures, Continuous Contract #1 (FSMP1) (Front Month)"
CHRIS/EUREX_FSMP2,"Skimmed Milk Powder Futures, Continuous Contract #2 (FSMP2)"
CHRIS/EUREX_FSMP6,"Skimmed Milk Powder Futures, Continuous Contract #6 (FSMP6)"
CHRIS/EUREX_FSMP5,"Skimmed Milk Powder Futures, Continuous Contract #5 (FSMP5)"
CHRIS/EUREX_FSMP7,"Skimmed Milk Powder Futures, Continuous Contract #7 (FSMP7)"
CHRIS/EUREX_FSMP8,"Skimmed Milk Powder Futures, Continuous Contract #8 (FSMP8)"
CHRIS/MCX_CT1,"Cotton Futures, March 2018, CTH2018, Continuous Contract #1 (CT1) (Front Month)"
CHRIS/MCX_CT3,"Cotton Futures, February 2018, CTG2018, Continuous Contract #3 (CT3)"
CHRIS/OSE_DJIA2,"OSE DJIA Futures, Continuous Contract #2 (DJIA2)"
CHRIS/MCX_CT2,"Cotton Futures, March 2018, CTH2018, Continuous Contract #2 (CT2)"
CHRIS/OSE_DJIA3,"OSE DJIA Futures, Continuous Contract #3 (DJIA3)"
CHRIS/OSE_DJIA4,"OSE DJIA Futures, Continuous Contract #4 (DJIA4)"
CHRIS/OSE_DJIA1,"OSE DJIA Futures, Continuous Contract #1 (DJIA1) (Front Month)"
CHRIS/MX_SCF1,"S&P/TSX Composite Index Mini Futures, Continuous Contract #1 (SCF1) (Front Month)"
CHRIS/MX_SCF2,"S&P/TSX Composite Index Mini Futures, Continuous Contract #2 (SCF2)"
CHRIS/MX_SCF3,"S&P/TSX Composite Index Mini Futures, Continuous Contract #3 (SCF3)"
CHRIS/MX_SCF4,"S&P/TSX Composite Index Mini Futures, Continuous Contract #4 (SCF4)"
CHRIS/MX_SXF2,"S&P/TSX 60 Index Standard Futures, Continuous Contract #2 (SXF2)"
CHRIS/MX_SXF1,"S&P/TSX 60 Index Standard Futures, Continuous Contract #1 (SXF1) (Front Month)"
CHRIS/MX_SXF3,"S&P/TSX 60 Index Standard Futures, Continuous Contract #3 (SXF3)"
CHRIS/MX_SXF4,"S&P/TSX 60 Index Standard Futures, Continuous Contract #4 (SXF4)"
CHRIS/MX_SXM1,"S&P/TSX 60 Index Mini Futures, Continuous Contract #1 (SXM1) (Front Month)"
CHRIS/MX_SXM2,"S&P/TSX 60 Index Mini Futures, Continuous Contract #2 (SXM2)"
CHRIS/MX_SXM3,"S&P/TSX 60 Index Mini Futures, Continuous Contract #3 (SXM3)"
CHRIS/MX_SXM4,"S&P/TSX 60 Index Mini Futures, Continuous Contract #4 (SXM4)"
CHRIS/ASX_AP2,"ASX SPI 200 Index Futures, Continuous Contract #2 (AP2)"
CHRIS/ASX_AP1,"ASX SPI 200 Index Futures, Continuous Contract #1 (AP1) (Front Month)"
CHRIS/LIFFE_FEF2,"FTSEUROFIRST 80 Index Futures, Continuous Contract #2 (FEF2)"
CHRIS/LIFFE_FEO2,"FTSEUROFIRST 100 Index Futures, Continuous Contract #2 (FEO2)"
CHRIS/LIFFE_FEF1,"FTSEUROFIRST 80 Index Futures, Continuous Contract #1 (FEF1) (Front Month)"
CHRIS/LIFFE_FEO1,"FTSEUROFIRST 100 Index Futures, Continuous Contract #1 (FEO1) (Front Month)"
CHRIS/LIFFE_FTI1,"AEX Index Futures, Continuous Contract #1 (FTI1) (Front Month)"
CHRIS/LIFFE_FCE1,"CAC40 Index Futures, Continuous Contract #1 (FCE1) (Front Month)"
CHRIS/LIFFE_AXF1,"AEX Dividend Index Futures, Continuous Contract #1 (AXF1) (Front Month)"
CHRIS/LIFFE_AXF2,"AEX Dividend Index Futures, Continuous Contract #2 (AXF2)"
CHRIS/LIFFE_FCE2,"CAC40 Index Futures, Continuous Contract #2 (FCE2)"
CHRIS/LIFFE_XFC1,"CAC40 Dividend Index Futures, Continuous Contract #1 (XFC1) (Front Month)"
CHRIS/LIFFE_FCE3,"CAC40 Index Futures, Continuous Contract #3 (FCE3)"
CHRIS/LIFFE_XFC2,"CAC40 Dividend Index Futures, Continuous Contract #2 (XFC2)"
CHRIS/LIFFE_MFC2,"CAC40 Index Mini Futures, Continuous Contract #2 (MFC2)"
CHRIS/LIFFE_BXF1,"BEL 20 Index Futures, Continuous Contract #1 (BXF1) (Front Month)"
CHRIS/LIFFE_MFC1,"CAC40 Index Mini Futures, Continuous Contract #1 (MFC1) (Front Month)"
CHRIS/LIFFE_BXF2,"BEL 20 Index Futures, Continuous Contract #2 (BXF2)"
CHRIS/LIFFE_PSI1,"PSI 20 Index Futures, Continuous Contract #1 (PSI1) (Front Month)"
CHRIS/LIFFE_Z1,"FTSE 100 Index Futures, Continuous Contract #1 (Z1) (Front Month)"
CHRIS/LIFFE_PSI2,"PSI 20 Index Futures, Continuous Contract #2 (PSI2)"
CHRIS/LIFFE_YZ1,"FTSE 100 Declared Dividend  Index Futures, Continuous Contract #1 (YZ1) (Front Month)"
CHRIS/LIFFE_XZ1,"FTSE 100 Dividend Index Futures, Continuous Contract #1 (XZ1) (Front Month)"
CHRIS/LIFFE_XZ2,"FTSE 100 Dividend Index Futures, Continuous Contract #2 (XZ2)"
CHRIS/LIFFE_YZ2,"FTSE 100 Declared Dividend  Index Futures, Continuous Contract #2 (YZ2)"
CHRIS/LIFFE_MPE3,"MSCI Europe Index NTR Futures, Continuous Contract #3 (MPE3)"
CHRIS/LIFFE_EPE1,"FTSE EPRA/NAREIT Euro Zone Index Futures, Continuous Contract #1 (EPE1) (Front Month)"
CHRIS/LIFFE_MPE1,"MSCI Europe Index NTR Futures, Continuous Contract #1 (MPE1) (Front Month)"
CHRIS/LIFFE_MPE2,"MSCI Europe Index NTR Futures, Continuous Contract #2 (MPE2)"
CHRIS/LIFFE_EPR1,"FTSE EPRA/NAREIT Europe Index Futures, Continuous Contract #1 (EPR1) (Front Month)"
CHRIS/LIFFE_EPR2,"FTSE EPRA/NAREIT Europe Index Futures, Continuous Contract #2 (EPR2)"
CHRIS/EUREX_FSTX1,"STOXX Europe 50 Index Futures, Continuous Contract #1 (FSTX1) (Front Month)"
CHRIS/LIFFE_EPE2,"FTSE EPRA/NAREIT Euro Zone Index Futures, Continuous Contract #2 (EPE2)"
CHRIS/EUREX_FESX2,"EURO STOXX 50 Index Futures, Continuous Contract #2 (FESX2)"
CHRIS/EUREX_FSTX2,"STOXX Europe 50 Index Futures, Continuous Contract #2 (FSTX2)"
CHRIS/EUREX_FESX3,"EURO STOXX 50 Index Futures, Continuous Contract #3 (FESX3)"
CHRIS/EUREX_FESX1,"EURO STOXX 50 Index Futures, Continuous Contract #1 (FESX1) (Front Month)"
CHRIS/EUREX_FRDX2,"RDX USD Index Futures, Continuous Contract #2 (FRDX2)"
CHRIS/EUREX_FRDX1,"RDX USD Index Futures, Continuous Contract #1 (FRDX1) (Front Month)"
CHRIS/EUREX_FRDX3,"RDX USD Index Futures, Continuous Contract #3 (FRDX3)"
CHRIS/EUREX_FRDX4,"RDX USD Index Futures, Continuous Contract #4 (FRDX4)"
CHRIS/EUREX_FRDX5,"RDX USD Index Futures, Continuous Contract #5 (FRDX5)"
CHRIS/EUREX_FFOX1,"OMXH25 Futures, Continuous Contract #1 (FFOX1) (Front Month)"
CHRIS/EUREX_FFOX2,"OMXH25 Futures, Continuous Contract #2 (FFOX2)"
CHRIS/EUREX_FDAX1,"DAX Futures, Continuous Contract #1 (FDAX1) (Front Month)"
CHRIS/EUREX_FDAX2,"DAX Futures, Continuous Contract #2 (FDAX2)"
CHRIS/EUREX_FDAX3,"DAX Futures, Continuous Contract #3 (FDAX3)"
CHRIS/EUREX_FTDX1,"TecDAX Futures, Continuous Contract #1 (FTDX1) (Front Month)"
CHRIS/EUREX_FTDX2,"TecDAX Futures, Continuous Contract #2 (FTDX2)"
CHRIS/EUREX_F2MX1,"MDAX Futures, Continuous Contract #1 (F2MX1) (Front Month)"
CHRIS/EUREX_F2MX2,"MDAX Futures, Continuous Contract #2 (F2MX2)"
CHRIS/EUREX_FDIV1,"DivDAX Futures, Continuous Contract #1 (FDIV1) (Front Month)"
CHRIS/EUREX_FDIV2,"DivDAX Futures, Continuous Contract #2 (FDIV2)"
CHRIS/EUREX_FDIV3,"DivDAX Futures, Continuous Contract #3 (FDIV3)"
CHRIS/EUREX_FVS1,"VSTOXX Futures, Continuous Contract #1 (FVS1) (Front Month)"
CHRIS/EUREX_FVS3,"VSTOXX Futures, Continuous Contract #3 (FVS3)"
CHRIS/EUREX_FVS4,"VSTOXX Futures, Continuous Contract #4 (FVS4)"
CHRIS/EUREX_FVS2,"VSTOXX Futures, Continuous Contract #2 (FVS2)"
CHRIS/EUREX_FVS5,"VSTOXX Futures, Continuous Contract #5 (FVS5)"
CHRIS/EUREX_FEXF1,"EURO STOXX 50 ex Financials Index Futures, Continuous Contract #1 (FEXF1) (Front Month)"
CHRIS/EUREX_FVS6,"VSTOXX Futures, Continuous Contract #6 (FVS6)"
CHRIS/EUREX_FEXF2,"EURO STOXX 50 ex Financials Index Futures, Continuous Contract #2 (FEXF2)"
CHRIS/EUREX_FEDV1,"EURO STOXX Select Dividend 30 Index Futures, Continuous Contract #1 (FEDV1) (Front Month)"
CHRIS/EUREX_FEDV2,"EURO STOXX Select Dividend 30 Index Futures, Continuous Contract #2 (FEDV2)"
CHRIS/EUREX_FVS7,"VSTOXX Futures, Continuous Contract #7 (FVS7)"
CHRIS/EUREX_FEXD1,"EURO STOXX 50 Index Dividend Futures, Continuous Contract #1 (FEXD1) (Front Month)"
CHRIS/EUREX_FEXD2,"EURO STOXX 50 Index Dividend Futures, Continuous Contract #2 (FEXD2)"
CHRIS/EUREX_FSLI1,"SLI Swiss Leader Index Futures, Continuous Contract #1 (FSLI1) (Front Month)"
CHRIS/EUREX_FSMI1,"SMI Futures, Continuous Contract #1 (FSMI1) (Front Month)"
CHRIS/EUREX_FSLI2,"SLI Swiss Leader Index Futures, Continuous Contract #2 (FSLI2)"
CHRIS/EUREX_FSMM1,"SMIM Futures, Continuous Contract #1 (FSMM1) (Front Month)"
CHRIS/EUREX_FSMI2,"SMI Futures, Continuous Contract #2 (FSMI2)"
CHRIS/EUREX_FSMM2,"SMIM Futures, Continuous Contract #2 (FSMM2)"
CHRIS/OSE_NK2251,"Nikkei 225 Futures, Continuous Contract #1 (NK2251) (Front Month)"
CHRIS/OSE_NK2252,"Nikkei 225 Futures, Continuous Contract #2 (NK2252)"
CHRIS/OSE_NK225M1,"Nikkei 225 Mini Futures, Continuous Contract #1 (NK225M1) (Front Month)"
CHRIS/OSE_NK225M2,"Nikkei 225 Mini Futures, Continuous Contract #2 (NK225M2)"
CHRIS/OSE_NKVI2,"Nikkei 225 VI Futures, Continuous Contract #2 (NKVI2)"
CHRIS/OSE_NKVI1,"Nikkei 225 VI Futures, Continuous Contract #1 (NKVI1) (Front Month)"
CHRIS/SGX_IN2,"SGX SGX Nifty Index Futures, Continuous Contract #2 (IN2)"
CHRIS/SGX_IN1,"SGX SGX Nifty Index Futures, Continuous Contract #1 (IN1) (Front Month)"
CHRIS/SGX_NS2,"SGX Mini Nikkei 225 Index Futures, Continuous Contract #2 (NS2)"
CHRIS/SGX_NK1,"SGX Nikkei 225 Index Futures, Continuous Contract #1 (NK1) (Front Month)"
CHRIS/SGX_NS1,"SGX Mini Nikkei 225 Index Futures, Continuous Contract #1 (NS1) (Front Month)"
